"Bob,Express","El,Rio","Fury","Indiana,River","Mount,Mara,VR","Naga,Bay","Oki,Doki","Revolution","Speedy,Bob","The,Dreamcatcher","Typhoon","Wildwaterbaan",time
0,0,0,0,0,0,0,0,0,0,0,0,20221025 104001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 105002
0,0,0,0,0,0,0,0,0,0,0,0,20221025 110001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 111001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 112001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 113001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 114001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 115001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 120001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 121001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 122001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 123001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 124001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 125001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 130001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 131001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 132001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 133001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 134001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 135001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 140001
0,0,0,0,0,0,0,0,0,0,0,0,20221025 141001
